DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
0.63,142500,5232
0.34,312000,3508
0.26,98500,1876
0.68,540000,4852
0.64,47850000,249480
0.63,0,4540
0.36,67000,2809
0.23,95000,1419
0.43,1300000,1200
0.31,800000,8016
1.04,2525000,7204
1.04,2525000,4430
1.04,2525000,9612
0.86,1471000,2988
57.6,0,0
3.44,25000,0
2.87,791500,3900
2.87,791500,2000
0.6,167000,2964
0.45,20000,1584
0.21,290000,1886
0.21,290000,448
0.4,150000,1736
0.37,583000,2852
1,93000,3016
4.33,0,1320
3.23,60000,1114
0.49,77000,3058
0.37,25000,984
0.75,0,0
0.11,0,1150
0.14,55500,1424
0.21,0,676
0.16,0,676
0.17,0,1687
0.29,0,975
0.16,450000,3786
0.5,120000,1544
0.38,175000,2037
0.27,204000,1946
0.21,220000,936
0.3,450000,3856
0.44,160000,1620
0.29,63000,1714
0.27,20000,1212
0.35,0,1131
2.68,0,0
3.09,870000,15196
3.09,870000,880
3.09,870000,5250
3.01,8507000,11931
3.01,8507000,16720
3.01,8507000,11460
0.6,0,0
0.77,0,2186
1.89,295000,3724
0.25,125000,0
0.17,489000,1498
0.11,144000,2658
0.37,165000,1699
0.39,165000,3100
0.35,129000,2485
1.36,155000,1680
2.25,74000,989
2.25,74000,1906
0.2,121500,1870
0.22,107500,2316
0.2,0,0
0.25,26000,1727
0.39,150000,0
0.41,250000,2318
1.69,1800000,16958
6.4,286000,2015
0.55,74000,2462
1.28,0,0
0.35,390000,1707
0.34,0,2077
0.47,229000,1956
0.69,0,1591
1.93,51000,1080
0.12,0,1296
0.15,98400,1800
0.19,505000,1967
0.35,2500,1269
0.21,0,3184
0.23,96000,1080
0.18,315000,1406
0.09,84000,1122
0.15,199500,1348
1.87,314000,2420
0.77,44500,1605
0.47,0,2241
0.14,0,1044
0.59,180000,2814
1.51,0,1993
1.51,0,1334
0.66,1000,4000
0.17,380000,1586
0.45,95000,952
0.17,210000,1060
18.48,0,4806
39.01,0,2160
0.37,0,1248
0.28,27000,1425
0.23,0,975
0.59,39500,640
0.72,230000,2815
0.26,358000,1328
0.97,98500,2126
0.27,0,1196
0.58,90000,1248
0.15,551500,3017
0.3,29000,1617
0.41,0,2721
0.46,86000,1638
0.78,138000,1622
0.53,11000,1160
0.2,255000,827
0.46,70000,2131
1.05,55000,1203
1.05,11000,0
1.31,152000,2966
0.22,62000,1326
14.92,0,738
0.23,296000,3996
0.41,27500,1253
0.25,40000,1216
0.36,118000,2196
0.31,94000,2081
0.08,0,0
0.18,7500,975
0.4,43000,2253
0.69,0,1248
0.46,27500,1741
0.28,245000,1915
0.46,14000,0
0.46,0,1456
0.46,59000,1008
0.47,0,0
0.54,0,2054
0.39,374000,1732
0.29,127000,2164
0.52,188000,1416
1.62,104000,1239
