PHYSICAL_CITY,DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
RALEIGH,0.38,32000,1875
RALEIGH,0.36,185000,1640
RALEIGH,0.35,43000,1550
RALEIGH,0.41,30000,1575
RALEIGH,0.3,22500,1875
RALEIGH,0.27,56000,1575
RALEIGH,0.33,136500,1875
RALEIGH,0.28,28500,1650
RALEIGH,0.31,126000,1725
RALEIGH,0.39,127500,1183
RALEIGH,0.26,120000,1625
RALEIGH,0.23,53500,1215
RALEIGH,0.22,24500,1595
RALEIGH,0.27,170500,1396
RALEIGH,0.23,29000,1839
RALEIGH,0.26,88000,1830
RALEIGH,0.24,120000,1687
RALEIGH,0.21,36000,1725
RALEIGH,0.31,73000,1912
RALEIGH,0.28,28500,1125
RALEIGH,0.39,37500,1150
RALEIGH,0.51,184500,1889
RALEIGH,0.31,170500,1575
RALEIGH,0.33,220000,1600
RALEIGH,0.3,235000,1420
RALEIGH,0.26,21000,1250
RALEIGH,0.29,145000,1600
RALEIGH,0.29,200000,1606
RALEIGH,0.29,155000,1600
RALEIGH,0.3,33000,2139
RALEIGH,0.31,77500,1737
RALEIGH,0.29,129000,1620
RALEIGH,0.31,74500,1612
RALEIGH,0.29,29500,1506
RALEIGH,0.21,140000,1575
RALEIGH,0.32,116500,1612
RALEIGH,0.25,201000,1650
RALEIGH,0.25,132000,1866
RALEIGH,0.28,129500,1225
RALEIGH,0.29,125000,1411
RALEIGH,0.27,64000,1725
RALEIGH,0.27,97500,1200
RALEIGH,0.28,230000,1572
RALEIGH,0.27,0,1600
RALEIGH,0.27,119000,1620
RALEIGH,0.26,122000,1777
RALEIGH,0.27,167500,1712
RALEIGH,0.28,160000,1620
RALEIGH,0.28,180000,1650
RALEIGH,0.27,24000,1225
RALEIGH,0.27,230000,1395
RALEIGH,0.26,15000,1250
RALEIGH,0.3,188000,2189
RALEIGH,0.35,185500,2200
RALEIGH,0.28,31500,2200
RALEIGH,0.26,179000,1650
RALEIGH,0.25,35500,2200
RALEIGH,0.26,97000,1650
RALEIGH,0.26,193500,1650
RALEIGH,0.28,36000,1650
RALEIGH,0.31,82000,1100
RALEIGH,0.31,0,1100
RALEIGH,0.33,205000,1650
RALEIGH,0.33,90000,1100
RALEIGH,0.26,150000,2328
RALEIGH,0.26,180000,1650
RALEIGH,0.27,26000,1100
RALEIGH,0.29,192000,2145
RALEIGH,0.06,0,0
RALEIGH,0.33,171000,1300
RALEIGH,0.35,0,0
RALEIGH,0.3,25000,1462
RALEIGH,0.19,150000,1188
RALEIGH,0.23,110000,1200
RALEIGH,0.32,91000,1188
RALEIGH,0.2,103000,1100
RALEIGH,0.15,109000,1188
RALEIGH,0.23,80000,1320
RALEIGH,0.31,94500,2400
RALEIGH,0.17,135000,1020
RALEIGH,0.14,110500,1020
RALEIGH,0.3,113000,1224
RALEIGH,0.24,68000,1320
RALEIGH,0.44,169000,1320
RALEIGH,0.21,19500,1188
RALEIGH,0.3,90500,2400
RALEIGH,0.32,0,2076
RALEIGH,0.46,22000,1200
RALEIGH,0.84,104000,1230
RALEIGH,0.18,100000,1184
RALEIGH,0.18,68000,1200
RALEIGH,0.19,133500,1221
RALEIGH,0.29,140000,1230
RALEIGH,0.22,97000,1320
RALEIGH,0.23,165000,1500
RALEIGH,0.18,25500,1000
RALEIGH,0.33,95000,1530
RALEIGH,0.35,120000,1080
RALEIGH,0.18,134000,1480
RALEIGH,0.35,33500,2400
RALEIGH,0.27,130000,2000
RALEIGH,0.22,174000,1900
RALEIGH,0.4,95000,1425
RALEIGH,0.19,88000,1093
RALEIGH,0.19,152000,1221
RALEIGH,0.18,88000,1161
RALEIGH,0.16,29000,1000
RALEIGH,0.19,101000,920
RALEIGH,0.19,23500,1118
RALEIGH,0.28,165000,1152
RALEIGH,0.27,88000,1254
RALEIGH,0.25,100000,1050
RALEIGH,0.23,112000,1080
RALEIGH,0.23,109000,1080
RALEIGH,0.21,36000,1020
RALEIGH,3,130000,2022
CARY,0.61,50000,3579
RALEIGH,0.38,0,1875
RALEIGH,0.36,0,0
RALEIGH,0.82,52000,648
RALEIGH,0.29,31500,2569
RALEIGH,0.26,140000,1080
RALEIGH,0.3,190000,1563
RALEIGH,0.4,257000,1776
RALEIGH,0.15,525000,2286
RALEIGH,1.27,0,2606
CARY,0.27,120000,1826
RALEIGH,0.29,180000,1804
FUQUAY VARINA,3.81,225000,2228
FUQUAY VARINA,1.85,10000,0
FUQUAY VARINA,6.81,20000,0
WAKE FOREST,27.2,0,0
GARNER,0.35,0,1490
RALEIGH,0.54,300000,3294
RALEIGH,0.28,307500,1334
GARNER,0.48,0,0
FUQUAY VARINA,0.29,215000,2328
WAKE FOREST,5.03,0,0
RALEIGH,0.7,301500,2769
WAKE FOREST,14.68,0,0
FUQUAY VARINA,0.86,232500,2824
FUQUAY VARINA,65.35,0,0
CREEDMOOR,3,5000,0
RALEIGH,0.17,415000,1536
FUQUAY VARINA,9.95,0,4711
RALEIGH,0.47,97000,1841
RALEIGH,0.47,82000,1688
RALEIGH,7.51,0,1630
FUQUAY VARINA,0.17,1000,864
FUQUAY VARINA,0.17,0,816
FUQUAY VARINA,21.36,0,0
FUQUAY VARINA,13.69,0,0
FUQUAY VARINA,0.63,240000,3688
FUQUAY VARINA,17.8,0,0
GARNER,0.39,7000,0
WAKE FOREST,1.46,1500,1080
WAKE FOREST,0.48,94000,1039
WAKE FOREST,0.48,94000,1789
WAKE FOREST,0.3,0,0
APEX,1.5,0,1523
MORRISVILLE,8.82,2250000,1600
MORRISVILLE,8.82,2250000,2100
